line,city,kind3,block_match,wd_match_cell,plan_cells,act_cells
NP9903466,沈阳市,①基本一样,0.8,0.875,10,8
NP9903471,济南市,③都不一样,0.765,0.949,51,39
NP9903482,福州市,①基本一样,0.941,0.938,17,16
NP9903501,保定市,③都不一样,0.7,0.357,40,28
NP9903518,太原市,③都不一样,0.632,0.875,38,24
NP9903523,淄博市,③都不一样,0.6,0.667,15,9
NP9903526,贵阳市,①基本一样,0.9,1.0,10,9
NP9903528,,①基本一样,1.0,1.0,7,7
NP9903531,广州市,①基本一样,0.905,0.974,42,38
NP9903543,韶关市,③都不一样,0.6,0.167,20,12
NP9903544,昆明市,①基本一样,1.0,1.0,8,8
NP9903548,西安市,①基本一样,1.0,1.0,13,13
NP9903549,沈阳市,③都不一样,0.75,0.75,16,12
NP9903555,临沂市,③都不一样,0.577,0.6,52,30
NP9903569,广州市,①基本一样,0.912,0.968,34,31
NP9903584,达州市,①基本一样,1.0,1.0,9,9
NP9903585,西安市,①基本一样,0.929,0.923,14,13
NP9903602,广州市,①基本一样,1.0,0.978,45,45
NP9903604,重庆市,②区块基本一样·星期几不一样,1.0,0.25,8,8
NP9903607,衡阳市,①基本一样,1.0,0.812,16,16
NP9903613,韶关市,③都不一样,0.474,0.222,19,9
NP9903614,昆明市,②区块基本一样·星期几不一样,1.0,0.636,11,11
NP9903617,海口市,①基本一样,1.0,1.0,15,15
NP9903619,南昌市,①基本一样,0.963,0.923,27,26
NP9903624,重庆市,①基本一样,1.0,0.778,9,9
NP9903627,昆明市,②区块基本一样·星期几不一样,1.0,0.0,4,4
NP9903644,湛江市,①基本一样,1.0,1.0,10,10
NP9903655,玉林市,①基本一样,1.0,1.0,8,8
NP9903656,天津市,②区块基本一样·星期几不一样,0.889,0.438,18,16
NP9903659,长沙市,①基本一样,1.0,0.941,17,17
NP9903667,江门市,②区块基本一样·星期几不一样,0.9,0.111,20,18
NP9903671,南昌市,①基本一样,0.857,0.889,21,18
NP9903676,荆门市,①基本一样,0.955,0.81,22,21
NP9903677,贵阳市,①基本一样,0.933,1.0,15,14
NP9903678,达州市,①基本一样,1.0,0.8,5,5
NP9903679,乐山市,①基本一样,1.0,0.917,12,12
NP9903685,西安市,③都不一样,0.737,0.643,19,14
NP9903688,中山市,①基本一样,1.0,1.0,23,23
NP9903693,唐山市,②区块基本一样·星期几不一样,0.8,0.0,20,16
NP9903694,济南市,③都不一样,0.6,0.611,30,18
NP9903695,长沙市,①基本一样,1.0,1.0,27,27
NP9903703,福州市,①基本一样,1.0,1.0,21,21
NP9903706,长沙市,①基本一样,1.0,0.875,8,8
NP9903708,长沙市,②区块基本一样·星期几不一样,0.938,0.667,16,15
NP9903712,太原市,①基本一样,1.0,0.733,15,15
NP9903713,深圳市,①基本一样,1.0,1.0,8,8
NP9903715,佛山市,①基本一样,0.897,1.0,39,35
NP9903716,中山市,③都不一样,0.7,1.0,10,7
NP9903719,贵阳市,①基本一样,0.833,1.0,12,10
NP9903722,东莞市,①基本一样,0.926,1.0,27,25
NP9903730,广州市,①基本一样,0.903,0.964,31,28
NP9903735,重庆市,②区块基本一样·星期几不一样,1.0,0.5,6,6
NP9903739,宜昌市,②区块基本一样·星期几不一样,0.905,0.632,21,19
NP9903741,广州市,①基本一样,1.0,0.857,7,7
NP9903744,南宁市,③都不一样,0.794,1.0,34,27
NP9903750,福州市,①基本一样,1.0,1.0,10,10
NP9903755,东莞市,①基本一样,0.871,0.963,31,27
NP9903756,咸阳市,③都不一样,0.438,0.143,48,21
NP9903760,武汉市,①基本一样,0.895,0.882,19,17
NP9903764,重庆市,①基本一样,1.0,0.933,15,15
NP9903770,柳州市,①基本一样,1.0,0.833,6,6
NP9903771,重庆市,①基本一样,1.0,0.9,10,10
NP9903772,柳州市,②区块基本一样·星期几不一样,0.947,0.278,19,18
NP9903774,重庆市,②区块基本一样·星期几不一样,1.0,0.0,7,7
NP9903775,绵阳市,②区块基本一样·星期几不一样,0.824,0.571,17,14
NP9903776,莆田市,①基本一样,1.0,0.895,38,38
NP9903777,莆田市,①基本一样,1.0,0.929,14,14
NP9903780,昆明市,③都不一样,0.667,0.0,3,2
NP9903781,惠州市,①基本一样,0.913,1.0,23,21
NP9903783,深圳市,①基本一样,1.0,1.0,12,12
NP9903787,昆明市,③都不一样,0.583,1.0,12,7
np0008812,长沙市,①基本一样,1.0,1.0,3,3
np9903059,长沙市,①基本一样,1.0,1.0,1,1
