line,city,kind,plan_cells,act_cells,miss_cells,miss_cell_pct,blocks,blocks_worked,block_exec_median,svc_wd_hit,cover,sameday,plan_stores,never
000874960,大连市,区块全开·店和星期都有欠,15,13,2,13.3,6,6,0.76,0.306,0.727,0.449,77,21
000875125,西安市,区块全开·星期照做,13,13,0,0.0,5,5,0.974,0.885,0.93,0.923,215,15
000875131,广州市,区块全开·店和星期都有欠,8,6,2,25.0,4,4,0.786,0.664,0.811,0.811,53,10
000875858,邯郸市,区块全开·店和星期都有欠,15,13,2,13.3,6,6,0.509,0.502,0.49,0.45,100,51
DS0001426,滨州市,计划与实际几乎不相交,30,11,19,63.3,15,6,0.0,0.139,0.275,0.011,91,66
DS0001773,阜阳市,区块缺了没开,16,15,1,6.2,7,6,0.75,0.556,0.765,0.583,204,48
DS0001866,宜昌市,区块全开·星期自己定,24,20,4,16.7,11,11,1.0,0.721,0.777,0.714,206,46
NP0008185,乐山市,区块全开·星期自己定,9,9,0,0.0,5,5,1.0,0.167,1.0,1.0,16,0
NP0008447,佛山市,区块全开·星期自己定,42,41,1,2.4,9,9,1.0,0.491,0.964,0.967,194,7
NP0008452,贵阳市,区块全开·星期照做,14,13,1,7.1,5,5,1.0,0.892,0.9,0.907,80,8
NP0008680,天津市,区块缺了没开,20,19,1,5.0,7,6,0.391,0.022,0.403,0.016,231,138
NP0008682,宁波市,区块大面积没开工,30,15,15,50.0,11,6,0.083,0.175,0.366,0.227,134,85
NP0008722,南京市,区块全开·店和星期都有欠,39,19,20,51.3,7,7,0.325,0.18,0.369,0.194,233,147
NP0008812,长沙市,区块全开·星期照做,31,31,0,0.0,7,7,1.0,0.965,1.0,1.0,194,0
NP0008855,阳江市,区块全开·星期照做,27,27,0,0.0,15,15,1.0,0.873,1.0,1.0,130,0
NP0008869,成都市,区块缺了没开,12,11,1,8.3,7,6,1.0,0.702,0.935,0.936,46,3
NP0008904,西安市,区块全开·星期照做,39,38,1,2.6,8,8,0.956,0.905,0.891,0.876,193,21
NP0008997,佛山市,区块全开·星期照做,25,24,1,4.0,6,6,1.0,0.926,0.975,0.976,198,5
NP0009078,大连市,区块缺了没开,6,5,1,16.7,3,2,0.8,0.067,0.818,0.727,11,2
NP0009098,达州市,区块全开·星期照做,8,8,0,0.0,5,5,1.0,0.912,0.981,0.974,103,2
NP0009123,宁波市,区块缺了没开,31,26,5,16.1,13,10,0.926,0.561,0.905,0.554,148,14
NP0009132,青岛市,区块缺了没开,34,22,12,35.3,8,7,0.605,0.205,0.556,0.259,223,99
NP0009135,东莞市,区块缺了没开,25,22,3,12.0,7,6,0.848,0.7,0.808,0.821,213,41
NP0009147,南京市,区块缺了没开,46,37,9,19.6,16,14,0.796,0.686,0.765,0.765,217,51
NP0009223,金华市,区块全开·星期照做,24,24,0,0.0,13,13,1.0,0.892,0.954,0.825,194,9
NP0009295,苏州市,区块缺了没开,66,59,7,10.6,38,34,0.97,0.782,0.822,0.791,208,37
NP0009377,唐山市,区块缺了没开,25,17,8,32.0,12,8,0.375,0.075,0.418,0.225,67,39
NP0009432,广州市,区块全开·星期自己定,32,30,2,6.2,8,8,0.889,0.799,0.897,0.905,252,26
NP0009462,上海市,区块全开·星期照做,8,7,1,12.5,3,3,0.857,0.886,0.896,0.896,67,7
NP0009527,合肥市,区块缺了没开,22,22,0,0.0,8,7,1.0,0.862,0.975,0.979,163,4
NP0009568,石家庄市,区块缺了没开,36,28,8,22.2,8,7,0.482,0.136,0.51,0.102,253,124
NP0009581,成都市,区块全开·星期照做,5,5,0,0.0,5,5,1.0,0.98,1.0,1.0,36,0
NP0009660,福州市,区块全开·星期照做,13,13,0,0.0,5,5,1.0,0.986,0.983,0.984,231,4
NP0009668,杭州市,区块全开·店和星期都有欠,14,13,1,7.1,5,5,0.724,0.653,0.677,0.615,232,75
NP0009672,上海市,区块缺了没开,31,24,7,22.6,13,11,0.818,0.558,0.717,0.643,127,36
NP0009743,台州市,区块全开·店和星期都有欠,24,21,3,12.5,11,10,0.793,0.516,0.706,0.52,204,60
NP0009778,深圳市,区块全开·星期照做,24,23,1,4.2,7,7,0.935,0.895,0.929,0.934,224,16
NP0009832,三亚市,区块全开·星期照做,10,10,0,0.0,5,5,1.0,0.963,0.956,0.947,226,10
NP0009925,广州市,区块全开·星期照做,17,17,0,0.0,5,5,0.971,0.943,0.964,0.967,193,7
NP0009959,大同市,区块全开·店和星期都有欠,14,12,2,14.3,5,5,0.472,0.411,0.469,0.4,175,93
NP0010006,邯郸市,区块缺了没开,22,16,6,27.3,8,7,0.716,0.4,0.574,0.149,47,20
NP0010020,北京市,区块全开·店和星期都有欠,23,19,4,17.4,5,5,0.75,0.709,0.727,0.706,271,74
NP0010026,深圳市,区块全开·星期自己定,47,43,4,8.5,10,9,0.877,0.751,0.868,0.877,265,35
NP0010054,成都市,区块全开·星期自己定,19,17,2,10.5,5,5,0.875,0.745,0.817,0.823,109,20
NP0010076,呼和浩特市,区块大面积没开工,25,18,7,28.0,12,7,0.322,0.129,0.462,0.325,132,71
NP0010123,东莞市,区块全开·星期照做,29,28,1,3.4,5,5,0.911,0.871,0.871,0.882,241,31
NP0010161,厦门市,区块全开·星期照做,33,31,2,6.1,18,18,1.0,0.871,0.924,0.933,158,12
NP0010177,武汉市,区块全开·星期照做,10,10,0,0.0,5,5,1.0,0.864,0.889,0.887,189,21
NP0010210,泰州市,区块缺了没开,46,31,15,32.6,24,17,0.364,0.185,0.48,0.274,223,116
NP0010233,柳州市,区块全开·星期自己定,15,14,1,6.7,10,10,0.963,0.734,0.727,0.534,172,47
NP0010236,沧州市,区块全开·店和星期都有欠,30,23,7,23.3,11,10,0.5,0.275,0.463,0.23,108,58
NP0010249,上海市,区块全开·区块内欠访,28,26,2,7.1,12,12,0.833,0.811,0.845,0.842,142,22
NP0010283,莆田市,区块全开·星期照做,21,21,0,0.0,12,12,1.0,0.893,0.99,0.986,199,2
NP0010285,成都市,区块缺了没开,12,10,2,16.7,6,5,0.865,0.68,0.851,0.856,101,15
NP0010307,威海市,区块缺了没开,32,19,13,40.6,16,11,0.333,0.114,0.442,0.221,104,58
