line,city,districts,plan_stores,plan_rows,act_visits,act_stores,cover,purity,wd_match,sameday,phase,qty,n_never,blocks,block_sizes,blocks_worked,block_worked_rate,block_exec_median,block_exec_min,block_wd_rate,cold_blocks,east_km,north_km,nn_median_m,workdays,daily_median,daily_avg,wd_visits,day_radius_km,zones_per_day,freq_1,freq_2p,kind,story
000855582,青岛市,"平度市×120, 崂山区×107",238,262,134,129,0.336,0.62,0.26,0.225,0.273,0.51,158,13,"[104, 96, 11, 7, 6]",5,0.385,0.0,0.0,1.0,区块×7店 仅执行 29%; 区块×96店 仅执行 33%; 区块×104店 仅执行 33%,68.5,82.2,112.0,16,3,8.4,"[33, 17, 22, 26, 12, 24, 0]",4.45,1.0,124,5,区块大面积没开工,"青岛市（平度市×120, 崂山区×107）：计划 238 店 / 262 次，分成 13 个区块（最大区块 104 店）。 地盘东西 68.5 × 南北 82.2 km；区块内店距中位 112 m。 节奏：16 个工作日、平均每天 8.4 家店、一天 1.0 个区块、当天作业半径中位 4.45 km；出勤 周一33/周二17/周三22/周四26/周五12/周六24；周日 没跑。 ① 区块开工：13 块里他开工了 5 块；② 区块内执行率中位 0%（最弱一块 0%）；③ 区块星期一致 100%。 参考：覆盖 34%、同日 22%、相位 27%、量比 0.51。 结论：**有区块整块没开工**（8 块），先问为什么不去，而不是谈执行率。 最冷的区块（计划内执行率最低）：区块×7店 仅执行 29%; 区块×96店 仅执行 33%; 区块×104店 仅执行 33%。"
000856001,温州市,"龙湾区×185, 洞头区×73",197,263,199,178,0.528,0.584,0.31,0.152,0.345,0.76,93,4,"[121, 41, 22, 13]",4,1.0,0.556,0.455,1.0,区块×22店 仅执行 45%; 区块×121店 仅执行 50%,46.3,20.8,79.0,14,9,14.2,"[23, 98, 30, 28, 14, 0, 6]",3.96,1.0,158,20,区块全开·区块内欠访,"温州市（龙湾区×185, 洞头区×73）：计划 197 店 / 263 次，分成 4 个区块（最大区块 121 店）。 地盘东西 46.3 × 南北 20.8 km；区块内店距中位 79 m。 节奏：14 个工作日、平均每天 14.2 家店、一天 1.0 个区块、当天作业半径中位 3.96 km；出勤 周一23/周二98/周三30/周四28/周五14/周日6；周六 没跑。 ① 区块开工：4 块里他开工了 4 块；② 区块内执行率中位 56%（最弱一块 46%）；③ 区块星期一致 100%。 参考：覆盖 53%、同日 15%、相位 34%、量比 0.76。 结论：区块都开了、星期也守，但**区块内没做全**（存在欠访）。 最冷的区块（计划内执行率最低）：区块×22店 仅执行 45%; 区块×121店 仅执行 50%。"
000856514,重庆市,"南川区×48, 黔江区×22",68,70,259,211,1.0,0.322,1.0,1.0,1.0,3.7,0,2,"[46, 22]",2,1.0,1.0,1.0,1.0,,169.8,43.3,97.0,16,6,16.2,"[59, 63, 60, 31, 46, 0, 0]",0.76,1.0,167,44,区块全开·星期照做,"重庆市（南川区×48, 黔江区×22）：计划 68 店 / 70 次，分成 2 个区块（最大区块 46 店）。 地盘东西 169.8 × 南北 43.3 km；区块内店距中位 97 m。 节奏：16 个工作日、平均每天 16.2 家店、一天 1.0 个区块、当天作业半径中位 0.76 km；出勤 周一59/周二63/周三60/周四31/周五46；周六、周日 没跑。 ① 区块开工：2 块里他开工了 2 块；② 区块内执行率中位 100%（最弱一块 100%）；③ 区块星期一致 100%。 参考：覆盖 100%、同日 100%、相位 100%、量比 3.7。 结论：**计划怎么划他就怎么做**——区块全开工、区块内做全、星期按计划。"
000857154,,开州区×56,47,56,165,127,1.0,0.37,1.0,1.0,1.0,2.95,0,1,[47],1,1.0,1.0,1.0,1.0,,6.3,5.2,198.0,14,4,11.8,"[50, 27, 29, 31, 28, 0, 0]",1.82,1.0,95,32,区块全开·星期照做,nan（开州区×56）：计划 47 店 / 56 次，分成 1 个区块（最大区块 47 店）。 地盘东西 6.3 × 南北 5.2 km；区块内店距中位 198 m。 节奏：14 个工作日、平均每天 11.8 家店、一天 1.0 个区块、当天作业半径中位 1.82 km；出勤 周一50/周二27/周三29/周四31/周五28；周六、周日 没跑。 ① 区块开工：1 块里他开工了 1 块；② 区块内执行率中位 100%（最弱一块 100%）；③ 区块星期一致 100%。 参考：覆盖 100%、同日 100%、相位 100%、量比 2.95。 结论：**计划怎么划他就怎么做**——区块全开工、区块内做全、星期按计划。
000859299,成都市,武侯区×77,76,77,270,198,1.0,0.384,1.0,1.0,1.0,3.51,0,1,[76],1,1.0,1.0,1.0,1.0,,2.9,6.1,55.0,22,4,12.3,"[63, 51, 52, 54, 34, 16, 0]",0.52,1.0,141,57,区块全开·星期照做,成都市（武侯区×77）：计划 76 店 / 77 次，分成 1 个区块（最大区块 76 店）。 地盘东西 2.9 × 南北 6.1 km；区块内店距中位 55 m。 节奏：22 个工作日、平均每天 12.3 家店、一天 1.0 个区块、当天作业半径中位 0.52 km；出勤 周一63/周二51/周三52/周四54/周五34/周六16；周日 没跑。 ① 区块开工：1 块里他开工了 1 块；② 区块内执行率中位 100%（最弱一块 100%）；③ 区块星期一致 100%。 参考：覆盖 100%、同日 100%、相位 100%、量比 3.51。 结论：**计划怎么划他就怎么做**——区块全开工、区块内做全、星期按计划。
000859505,宁波市,"海曙区×158, 鄞州区×42",193,202,236,230,0.435,0.365,0.207,0.129,0.306,1.17,109,4,"[151, 20, 14, 8]",3,0.75,0.237,0.0,1.0,区块×8店 仅执行 12%; 区块×20店 仅执行 35%; 区块×151店 仅执行 50%,24.7,20.6,36.0,18,3,13.1,"[58, 59, 55, 38, 26, 0, 0]",2.63,1.0,225,5,区块缺了没开,"宁波市（海曙区×158, 鄞州区×42）：计划 193 店 / 202 次，分成 4 个区块（最大区块 151 店）。 地盘东西 24.7 × 南北 20.6 km；区块内店距中位 36 m。 节奏：18 个工作日、平均每天 13.1 家店、一天 1.0 个区块、当天作业半径中位 2.63 km；出勤 周一58/周二59/周三55/周四38/周五26；周六、周日 没跑。 ① 区块开工：4 块里他开工了 3 块；② 区块内执行率中位 24%（最弱一块 0%）；③ 区块星期一致 100%。 参考：覆盖 44%、同日 13%、相位 31%、量比 1.17。 结论：**有 1 个区块整块没开工**，但他开的那几块做得很好（执行率与星期都守）——先问为什么不去那几块。 最冷的区块（计划内执行率最低）：区块×8店 仅执行 12%; 区块×20店 仅执行 35%; 区块×151店 仅执行 50%。"
000859827,天津市,"滨海新区×145, 宝坻区×2",126,148,249,188,0.865,0.58,0.317,0.155,0.468,1.68,17,3,"[111, 14, 1]",3,1.0,0.892,0.643,0.667,,9.0,17.6,72.0,22,7,11.3,"[56, 49, 44, 54, 45, 1, 0]",4.8,1.0,131,57,区块全开·星期自己定,"天津市（滨海新区×145, 宝坻区×2）：计划 126 店 / 148 次，分成 3 个区块（最大区块 111 店）。 地盘东西 9.0 × 南北 17.6 km；区块内店距中位 72 m。 节奏：22 个工作日、平均每天 11.3 家店、一天 1.0 个区块、当天作业半径中位 4.8 km；出勤 周一56/周二49/周三44/周四54/周五45/周六1；周日 没跑。 ① 区块开工：3 块里他开工了 3 块；② 区块内执行率中位 89%（最弱一块 64%）；③ 区块星期一致 67%。 参考：覆盖 86%、同日 16%、相位 47%、量比 1.68。 结论：区块都开了但**星期由他自己排**，周内顺序不跟计划。"
000859839,无锡市,"惠山区×43, 锡山区×3",45,46,260,233,0.844,0.163,0.822,0.804,0.844,5.65,7,2,"[36, 9]",2,1.0,0.861,0.833,1.0,,8.9,7.3,99.0,7,8,37.1,"[67, 71, 41, 42, 39, 0, 0]",2.15,1.0,209,24,区块全开·星期照做,"无锡市（惠山区×43, 锡山区×3）：计划 45 店 / 46 次，分成 2 个区块（最大区块 36 店）。 地盘东西 8.9 × 南北 7.3 km；区块内店距中位 99 m。 节奏：7 个工作日、平均每天 37.1 家店、一天 1.0 个区块、当天作业半径中位 2.15 km；出勤 周一67/周二71/周三41/周四42/周五39；周六、周日 没跑。 ① 区块开工：2 块里他开工了 2 块；② 区块内执行率中位 86%（最弱一块 83%）；③ 区块星期一致 100%。 参考：覆盖 84%、同日 80%、相位 84%、量比 5.65。 结论：**计划怎么划他就怎么做**——区块全开工、区块内做全、星期按计划。"
000859841,厦门市,"湖里区×213, 思明区×4",197,217,231,201,0.919,0.9,0.92,0.926,0.919,1.06,16,1,[197],1,1.0,0.919,0.919,1.0,,10.6,6.9,68.0,20,10,11.6,"[63, 44, 43, 35, 46, 0, 0]",1.45,1.0,171,30,区块全开·星期照做,"厦门市（湖里区×213, 思明区×4）：计划 197 店 / 217 次，分成 1 个区块（最大区块 197 店）。 地盘东西 10.6 × 南北 6.9 km；区块内店距中位 68 m。 节奏：20 个工作日、平均每天 11.6 家店、一天 1.0 个区块、当天作业半径中位 1.45 km；出勤 周一63/周二44/周三43/周四35/周五46；周六、周日 没跑。 ① 区块开工：1 块里他开工了 1 块；② 区块内执行率中位 92%（最弱一块 92%）；③ 区块星期一致 100%。 参考：覆盖 92%、同日 93%、相位 92%、量比 1.06。 结论：**计划怎么划他就怎么做**——区块全开工、区块内做全、星期按计划。"
000860516,滨州市,"沾化区×72, 滨城区×68",185,185,183,165,0.524,0.588,0.211,0.114,0.286,0.99,88,18,"[61, 54, 29, 15, 4]",11,0.611,0.455,0.0,0.636,区块×3店 仅执行 33%; 区块×61店 仅执行 41%; 区块×2店 仅执行 50%,57.0,87.3,100.0,13,8,14.1,"[29, 19, 46, 61, 28, 0, 0]",15.86,2.0,147,18,区块缺了没开,"滨州市（沾化区×72, 滨城区×68）：计划 185 店 / 185 次，分成 18 个区块（最大区块 61 店）。 地盘东西 57.0 × 南北 87.3 km；区块内店距中位 100 m。 节奏：13 个工作日、平均每天 14.1 家店、一天 2.0 个区块、当天作业半径中位 15.86 km；出勤 周一29/周二19/周三46/周四61/周五28；周六、周日 没跑。 ① 区块开工：18 块里他开工了 11 块；② 区块内执行率中位 46%（最弱一块 0%）；③ 区块星期一致 64%。 参考：覆盖 52%、同日 11%、相位 29%、量比 0.99。 结论：**有 7 个区块整块没开工**，但他开的那几块做得很好（执行率与星期都守）——先问为什么不去那几块。 最冷的区块（计划内执行率最低）：区块×3店 仅执行 33%; 区块×61店 仅执行 41%; 区块×2店 仅执行 50%。"
000860562,宁波市,"鄞州区×51, 北仑区×1",52,52,273,235,0.519,0.115,0.192,0.115,0.288,5.25,25,3,"[23, 21, 8]",3,1.0,0.522,0.25,1.0,区块×8店 仅执行 25%; 区块×23店 仅执行 52%,40.3,39.2,275.0,11,3,24.8,"[66, 46, 37, 42, 25, 38, 19]",29.12,2.0,203,32,区块全开·区块内欠访,"宁波市（鄞州区×51, 北仑区×1）：计划 52 店 / 52 次，分成 3 个区块（最大区块 23 店）。 地盘东西 40.3 × 南北 39.2 km；区块内店距中位 275 m。 节奏：11 个工作日、平均每天 24.8 家店、一天 2.0 个区块、当天作业半径中位 29.12 km；出勤 周一66/周二46/周三37/周四42/周五25/周六38/周日19。 ① 区块开工：3 块里他开工了 3 块；② 区块内执行率中位 52%（最弱一块 25%）；③ 区块星期一致 100%。 参考：覆盖 52%、同日 12%、相位 29%、量比 5.25。 结论：区块都开了、星期也守，但**区块内没做全**（存在欠访）。 最冷的区块（计划内执行率最低）：区块×8店 仅执行 25%; 区块×23店 仅执行 52%。"
000860828,长沙市,"雨花区×102, 天心区×66",158,168,222,204,0.956,0.74,0.956,0.958,0.956,1.32,7,1,[158],1,1.0,0.956,0.956,1.0,,9.2,6.2,78.0,17,11,13.1,"[59, 47, 41, 35, 40, 0, 0]",1.75,1.0,187,17,区块全开·星期照做,"长沙市（雨花区×102, 天心区×66）：计划 158 店 / 168 次，分成 1 个区块（最大区块 158 店）。 地盘东西 9.2 × 南北 6.2 km；区块内店距中位 78 m。 节奏：17 个工作日、平均每天 13.1 家店、一天 1.0 个区块、当天作业半径中位 1.75 km；出勤 周一59/周二47/周三41/周四35/周五40；周六、周日 没跑。 ① 区块开工：1 块里他开工了 1 块；② 区块内执行率中位 96%（最弱一块 96%）；③ 区块星期一致 100%。 参考：覆盖 96%、同日 96%、相位 96%、量比 1.32。 结论：**计划怎么划他就怎么做**——区块全开工、区块内做全、星期按计划。"
000862367,上海市,"宝山区×248, 静安区×3",234,251,157,152,0.397,0.612,0.35,0.323,0.363,0.63,141,2,"[233, 1]",2,1.0,0.697,0.395,1.0,区块×233店 仅执行 39%,15.6,18.7,85.0,18,5,8.7,"[29, 34, 35, 28, 26, 2, 3]",0.97,1.0,147,5,区块全开·区块内欠访,"上海市（宝山区×248, 静安区×3）：计划 234 店 / 251 次，分成 2 个区块（最大区块 233 店）。 地盘东西 15.6 × 南北 18.7 km；区块内店距中位 85 m。 节奏：18 个工作日、平均每天 8.7 家店、一天 1.0 个区块、当天作业半径中位 0.97 km；出勤 周一29/周二34/周三35/周四28/周五26/周六2/周日3。 ① 区块开工：2 块里他开工了 2 块；② 区块内执行率中位 70%（最弱一块 40%）；③ 区块星期一致 100%。 参考：覆盖 40%、同日 32%、相位 36%、量比 0.63。 结论：区块都开了、星期也守，但**区块内没做全**（存在欠访）。 最冷的区块（计划内执行率最低）：区块×233店 仅执行 39%。"
