line,stores,changed,base_hit,new_hit,cap_L1_old,cap_L1_new,blocks_old,blocks_new,cv_old,cv_new,compact_old,compact_new
NP9903119,65,0,0.723,0.723,0.179,0.179,9,9,0.839,0.839,0.452,0.452
NP9903125,102,2,0.912,0.892,0.228,0.271,8,8,0.486,0.481,0.438,0.438
NP9903128,110,0,0.991,0.991,0.081,0.081,8,8,0.705,0.705,0.375,0.375
NP9903144,55,17,0.564,0.564,0.232,0.286,16,17,0.903,1.015,0.586,0.584
NP9903168,74,10,0.932,0.892,0.275,0.275,5,7,0.187,0.63,0.338,0.369
NP9903170,88,28,0.557,0.466,0.075,0.138,6,10,0.426,0.873,0.574,0.512
NP9903172,110,0,0.9,0.9,0.167,0.193,15,15,0.977,0.977,0.495,0.495
NP9903205,62,21,0.661,0.645,0.27,0.206,5,6,0.496,0.47,0.393,0.415
NP9903257,14,3,0.571,0.571,1.258,1.311,3,5,0.548,1.014,0.522,1.0
NP9903262,67,1,0.94,0.94,0.098,0.098,15,16,1.049,1.103,0.628,0.673
NP9903265,73,7,1.0,0.945,0.217,0.217,8,10,0.718,0.906,0.357,0.461
NP9903298,1,0,0.0,0.0,1.0,1.0,8,8,0.712,0.712,0.68,0.68
NP9903310,50,16,0.9,0.8,0.304,0.237,9,10,0.535,0.772,0.543,0.673
NP9903312,79,8,0.734,0.709,0.072,0.078,6,6,0.452,0.454,0.334,0.353
NP9903330,111,1,0.982,0.973,0.228,0.228,7,7,0.664,0.661,0.396,0.396
NP9903363,121,3,1.0,0.983,0.068,0.077,6,7,0.465,0.633,0.536,0.537
NP9903397,30,5,0.067,0.1,0.238,0.158,13,13,0.696,0.702,0.662,0.661
NP9903405,91,16,0.78,0.758,0.076,0.084,7,12,0.613,1.062,0.391,0.875
NP9903408,26,12,0.769,0.731,0.893,0.597,6,6,0.627,0.663,0.595,0.58
NP9903456,69,26,0.667,0.623,0.367,0.387,5,5,0.108,0.089,0.353,0.182
NP9903457,122,2,0.984,0.984,0.124,0.155,7,9,0.614,0.87,0.472,0.492
NP9903466,46,4,1.0,0.935,0.619,0.551,4,6,0.647,0.981,0.51,0.808
NP9903471,93,2,0.871,0.86,0.311,0.311,16,17,1.294,1.36,1.0,1.0
NP9903482,133,1,0.992,0.985,0.061,0.069,5,5,0.151,0.141,0.472,0.483
NP9903501,68,42,0.382,0.368,0.143,0.135,16,25,1.309,1.603,0.936,1.0
NP9903518,55,23,0.891,0.709,0.413,0.392,7,10,0.559,0.889,0.41,0.448
NP9903523,3,6,0.667,0.667,1.511,1.365,5,10,0.445,0.916,0.449,1.0
NP9903526,110,2,0.973,0.964,0.159,0.16,6,6,0.454,0.458,0.328,0.238
NP9903528,67,5,0.985,0.91,0.346,0.362,5,5,0.189,0.2,0.311,0.289
NP9903531,114,0,1.0,1.0,0.131,0.131,10,10,0.894,0.894,0.452,0.452
NP9903543,31,8,0.129,0.129,0.24,0.215,13,15,0.737,0.786,0.599,0.652
NP9903544,93,2,0.978,0.957,0.303,0.296,5,5,0.141,0.129,0.644,0.415
NP9903548,114,6,0.93,0.895,0.153,0.134,5,5,0.21,0.222,0.509,0.377
NP9903549,10,1,0.5,0.5,0.809,0.76,5,6,0.68,0.834,0.629,0.651
NP9903555,70,7,0.657,0.643,0.383,0.391,5,9,0.091,0.85,0.23,0.432
NP9903569,80,0,1.0,1.0,0.311,0.311,7,7,0.466,0.466,0.223,0.223
NP9903584,97,0,0.99,0.99,0.106,0.106,5,5,0.172,0.172,0.459,0.459
NP9903585,122,15,0.828,0.73,0.386,0.408,5,7,0.172,0.651,0.358,0.358
NP9903602,121,3,0.992,0.967,0.084,0.092,10,13,0.771,1.004,0.49,0.63
NP9903604,20,11,0.55,0.6,0.72,0.663,6,8,0.962,0.877,0.74,0.826
NP9903607,96,5,0.781,0.74,0.517,0.533,6,6,0.315,0.31,0.34,0.34
NP9903613,18,24,0.222,0.222,0.019,0.228,16,18,0.838,0.905,0.544,0.552
NP9903614,59,26,0.831,0.847,0.189,0.331,6,6,0.565,0.649,0.283,0.473
NP9903617,112,3,0.964,0.955,0.13,0.13,9,9,0.814,0.815,0.535,0.512
NP9903619,97,3,0.979,0.959,0.219,0.235,7,9,0.577,0.833,0.487,0.56
NP9903624,40,0,0.9,0.9,0.543,0.543,6,6,0.89,0.89,0.645,0.645
NP9903627,4,5,0.0,0.75,1.008,0.713,3,4,0.0,0.333,1.0,1.0
NP9903644,106,0,0.981,0.981,0.099,0.099,5,5,0.099,0.099,0.374,0.374
NP9903655,115,7,0.904,0.87,0.121,0.103,5,5,0.315,0.289,0.472,0.434
NP9903656,62,36,0.306,0.306,0.049,0.075,6,11,0.504,1.068,0.374,1.0
NP9903659,93,1,0.871,0.86,0.485,0.493,6,6,0.45,0.452,0.408,0.392
NP9903667,31,32,0.226,0.129,0.5,0.343,9,17,0.717,1.013,0.347,0.561
NP9903671,76,14,0.803,0.803,0.114,0.106,9,12,0.824,1.062,0.543,0.524
NP9903676,98,8,0.755,0.735,0.08,0.123,10,10,0.725,0.679,0.404,0.433
NP9903677,42,3,0.929,0.905,0.517,0.576,7,8,0.739,0.857,0.45,0.583
NP9903678,106,13,0.972,0.887,0.068,0.053,5,6,0.012,0.398,0.354,0.351
NP9903679,54,6,0.926,0.833,0.424,0.402,7,9,0.527,0.657,0.568,0.563
NP9903685,61,11,0.852,0.787,0.286,0.232,5,6,0.133,0.47,0.22,0.192
NP9903688,104,0,0.971,0.971,0.109,0.109,8,8,0.648,0.648,0.392,0.392
NP9903693,31,11,0.065,0.065,0.706,0.674,9,12,0.811,1.008,0.664,0.927
NP9903694,31,13,0.581,0.548,0.794,0.76,7,12,0.638,1.123,0.379,0.903
NP9903695,118,2,0.992,0.992,0.051,0.06,7,8,0.615,0.75,0.487,0.521
NP9903703,131,0,0.977,0.977,0.073,0.073,5,5,0.115,0.115,0.433,0.433
NP9903706,108,6,1.0,0.963,0.168,0.143,5,5,0.184,0.204,0.407,0.267
NP9903708,63,14,0.889,0.857,0.475,0.446,4,6,0.4,0.827,0.295,0.535
NP9903712,78,10,0.962,0.962,0.366,0.317,7,8,0.586,0.617,0.38,0.38
NP9903713,134,0,0.978,0.978,0.119,0.119,6,6,0.472,0.472,0.266,0.266
NP9903715,129,11,1.0,0.93,0.078,0.117,6,9,0.337,0.784,0.403,0.449
NP9903716,7,0,0.286,0.286,0.99,0.99,4,4,0.78,0.78,0.695,0.695
NP9903719,22,1,0.909,0.909,0.524,0.496,4,5,0.356,0.595,0.435,0.57
